Bruto (Euros),Bruto mes (14 pagas),Neto (Euros),Neto mes (14 pagas),Retencion (%),Retencion (Euros),SS,SS (%),Descuentos (G1+H1),IRPF (bruto-neto),Base,min personal,cuantia fija,
"18,000","1,286","15,194.00","1,085",10.89%,"1,960.20",846.00,4.70%,"2,806.20","2,806.00","15,154.00","5,550.00","2,000.00",
"24,000","1,714","19,499.00","1,393",14.05%,"3,372.00","1,128.00",4.70%,"4,500.00","4,501.00","20,872.00","5,550.00","2,000.00",
"30,000","2,143","23,502.00","1,679",16.92%,"5,076.00","1,410.00",4.70%,"6,486.00","6,498.00","26,590.00","5,550.00","2,000.00",
"32,000","2,286","24,836.00","1,774",17.69%,"5,660.80","1,504.00",4.70%,"7,164.80","7,164.00","28,496.00","5,500.00","2,000.00",
"32,960","2,354","25,477.00","1,820",18.00%,"5,932.80","1,549.00",4.70%,"7,481.80","7,483.00","29,411.00","5,550.00","2,000.00",
"35,000","2,500","26,838.00","1,917",18.62%,"6,517.00","1,654.00",4.73%,"8,171.00","8,162.00","31,355.00","5,550.00","2,000.00",
"38,000","2,714","28,839.00","2,060",19.41%,"7,375.80","1,786.00",4.70%,"9,161.80","9,161.00","34,214.00","5,550.00","2,000.00",
"40,000","2,857","30,109.00","2,151",20.03%,"8,012.00","1,880.00",4.70%,"9,892.00","9,891.00","36,120.00","5,550.00","2,000.00",
"42,000","3,000","31,309.00","2,236",20.75%,"8,715.00","1,974.00",4.70%,"10,689.00","10,691.00","38,026.00","5,550.00","2,000.00",
"45,000","3,214","33,111.00","2,365",21.72%,"9,774.00","2,116.00",4.70%,"11,890.00","11,889.00","40,885.00","5,550.00","2,000.00",
"50,000","3,571","36,260.00","2,590",23.50%,"11,750.00","2,116.00",4.23%,"13,866.00","13,740.00","45,884.00","5,550.00","2,000.00",
"52,000","3,714","37,520.00","2,680",23.78%,"12,365.60","2,116.00",4.07%,"14,481.60","14,480.00","47,884.00","5,550.00","2,000.00",
"55,000","3,929","39,410.00","2,815",24.50%,"13,475.00","2,116.00",3.85%,"15,591.00","15,590.00","50,884.00","5,550.00","2,000.00",
"60,000","4,286","42,560.00","3,040",25.40%,"15,240.00","2,116.00",3.53%,"17,356.00","17,440.00","55,884.00","5,550.00","2,000.00",
"65,000","4,643","45,639.00","3,260",26.53%,"17,244.50","2,116.00",3.26%,"19,360.50","19,361.00","60,884.00","5,550.00","2,000.00",
"70,000","5,000","48,389.00","3,456",27.85%,"19,495.00","2,116.00",3.02%,"21,611.00","21,611.00","65,884.00","5,550.00","2,000.00",
"80,000","5,714","53,889.00","3,849",29.99%,"23,992.00","2,116.00",2.65%,"26,108.00","26,111.00","75,884.00","5,550.00","2,000.00",
"85,000","6,071","56,639.00","4,046",30.88%,"26,248.00","2,116.00",2.49%,"28,364.00","28,361.00","80,884.00","5,550.00","2,000.00",
"100,000","7,143","64,889.00","4,635",32.99%,"32,990.00","2,116.00",2.12%,"35,106.00","35,111.00","95,884.00","5,550.00","2,000.00",
"120,000","8,571","75,889.00","5,421",35.00%,"42,000.00","2,116.00",1.76%,"44,116.00","44,111.00","115,884.00","5,550.00","2,000.00",
"150,000","10,714","92,389.00","6,599",37.00%,"55,500.00","2,116.00",1.41%,"57,616.00","57,611.00","145,884.00","5,550.00","2,000.00",
"180,000","12,857","108,889.00","7,778",38.33%,"68,994.00","2,116.00",1.18%,"71,110.00","71,111.00",175884,,,